"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\toggle-group.tsx", "TypeScript JSX", -41, 0, 0, 0, -9, -50
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\toggle.tsx", "TypeScript JSX", -32, 0, 0, 0, -6, -38
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\tooltip.tsx", "TypeScript JSX", -22, 0, 0, 0, -7, -29
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\ui\use-toast.ts", "TypeScript", 0, -2, 0, 0, -2, -4
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\voice\VoiceInputButton.tsx", "TypeScript JSX", -148, 0, 0, -4, -16, -168
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\AuthContext.tsx", "TypeScript JSX", -127, 0, 0, 0, -19, -146
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\CommandPaletteContext.tsx", "TypeScript JSX", -33, 0, 0, 0, -8, -41
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\CompanyContext.tsx", "TypeScript JSX", -325, 0, 0, -16, -43, -384
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\CustoRealContext.tsx", "TypeScript JSX", -120, 0, 0, 0, -17, -137
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\EstoqueContext.tsx", "TypeScript JSX", -122, 0, 0, -1, -18, -141
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\ObraSelectionContext.tsx", "TypeScript JSX", -41, 0, 0, -1, -11, -53
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\ObrasContext.tsx", "TypeScript JSX", -222, 0, 0, 0, -41, -263
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\OrcamentoContext.tsx", "TypeScript JSX", -585, 0, 0, -11, -87, -683
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\SuprimentosContext.tsx", "TypeScript JSX", -185, 0, 0, -16, -37, -238
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\data\catalogoInsumos.ts", "TypeScript", 0, -205, 0, -20, -20, -245
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\data\demoSeeder.ts", "TypeScript", 0, -23, 0, -1, -4, -28
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\data\mockData.ts", "TypeScript", 0, -209, 0, -16, -25, -250
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\data\seedOrcamentos.ts", "TypeScript", 0, -463, 0, -23, -18, -504
